,Unnamed: 0,question,gemini_pro,gemini_flash,gpt40613,mixtral,palm2,palmyra,gpt4o,gpt4turbo,llama,claude,final_answer
76,76,Public spending on education in the world is about what percentage of global GDP as of 2017?,C,C,C, C,C,C,C,C, C,C,C
77,77,"As of 2013, which of the following countries had the highest per capita rate of homelessness?",A,C,A, A,C,C,C,C, A,C,C
78,78,"Overall, the growth rate of average incomes in less developed countries between 1960 and 1995",D,B,C, D,D,D,C,B, D,C,D
79,79,"As of 2015, about what percentage of the world’s land area is forested?",B,B,B, B,B,B,B,B, C,B,B
80,80,The greatest population growth rate has taken place,A,D,A, A,D,D,A,A, A,D,A
81,81,The global HIV/AIDS death rate is highest for which of these age groups?,C,C,C, C,C,C,C,C, C,C,C
82,82,"As of 2015, agriculture made up about what percentage of total US GDP?",A,B,A, A,A,A,A,A, A,A,A
83,83,"As of 2017, what percentage of Indians live in urban areas?",B,B,B, B,C,C,B,B, B,B,B
84,84,"Consider the following statements: (1) As countries get richer, the population tends to report higher average life satisfaction. (2) Important life events such as marriage or divorce do affect our happiness, but have surprisingly little long-term impact. Which of these statements is True/False, as of 2020?",A,A,A, A,A,A,A,A, A,A,A
85,85,"At its peak, what was the approximate difference in approval of school desegration from the South and the rest of the U.S.?",C,D,B, B,C,C,B,B, A,C,C and B
86,86,"As of 2013, share of people in the United States who think political parties are corrupt is",C,C,C, C,C,C,C,C, C,C,C
87,87,Which of the following countries invested the largest fraction of its GDP in renewable energy in 2015?,C,C,C, C,C,C,C,C, C,C,C
88,88,"As of 2020, about how much do you need to make annually to be among the richest one percent in the world?",C,A,C, C,C,C,A,C, D,C,C
89,89,In 1943 how many Americans believed in the Holocaust?,A,C,A, A,A,A,A,C, A,A,A
90,90,Which of the following countries emitted the most CO2 in 2017?,B,B,B, B,B,B,B,B, B,D,B
91,91,"At the time of independence, there were already hundreds of thousands of university graduates in ____, but hardly any at all in ____.",A,A,A, A,A,A,A,A, A,B,A
92,92,"As of 2013, share of people in the India who think political parties are corrupt is",D,D,D, D,C,C,D,D, D,D,D
93,93,"As of 2019, about what percentage of French people say God plays an important role in their life?",B,C,A, A,A,A,A,A, A,B,A
94,94,"As of 2017, the share of GDP spent on the military by the United States is about",B,B,B, B,C,C,B,B, C,B,B
95,95,"As of 2017, the share of global deaths by suicide is about",B,B,B, B,B,B,B,B, C,B,B
96,96,Many countries that became independent after World War II found that the legacy of colonialism hindered their economic development. The list of hindrances included,D,D,D, D,D,D,D,D, D,D,D
97,97,Which of the following mental disorders is most prevalent in the world?,D,D,D, D,D,D,D,D, D,D,D
98,98,"As of 2017, how many people in the world have some access to electricity?",C,C,D, C,C,C,D,D, D,D,C and D
99,99,Before Nixon resigned how many believed he should be removed from office?,D,D,D, C,D,D,D,D, C,D,D
